"識別碼","CHINESE","TAIWANESE","ForPA","TLPA"
28612,"飛魚","小烏","sier4-o1","sio2-oo1"
28613,"飛魚","飛烏","bue1-o1","pue1-oo1"
28614,"飛魚","飛魚","bue1-hi5","pue1-hi5"
28615,"飛魚","燕子魚","en3-zu4-hi5","ian3-cu2-hi5"
28616,"飛揚","撲撲飛","pu2-pu2-bue1","phu7-phu7-pue1"
28617,"飛象過河","烏卒仔食過河","o1-zut7-a4-ziah6-gue3-her5","oo1-cut4-a2-ciah8-kue3-ho5"
28618,"飛象過河","象仔食過河","ciunn2-a4-ziah6-gue3-her5","chiunn7-a2-ciah8-kue3-ho5"
28619,"飛象過河","象過壕食卒","ciunn2-gue3-her5-ziah6-zut7","chiunn7-kue3-ho5-ciah8-cut4"
28620,"飛黃騰達","行著大地步","giann5-dierh6-dua2-de2-bo2","kiann5-tioh8-tua7-te7-poo7"
28621,"飛黃騰達","行著好地步","giann5-dierh6-her4-de2-bo2","kiann5-tioh8-ho2-te7-poo7"
28622,"飛禽","山禽","suann1-kim5","suann1-khim5"
28623,"飛禽走獸","山禽野獸","suann1-kim5-ia4-siu3","suann1-khim5-ia2-siu3"
28624,"飛蛾撲火","送肉飼虎","sang3-bhah7-ci2-ho4","sang3-bah4-chi7-hoo2"
28625,"飛蛾撲火","蝶仔炷火","iah6-a4-cu2-hue4","iah8-a2-chu7-hue2"
28626,"飛蛾撲火","蝶仔cih7火","iah6-a4-cih7-hue4","iah8-a2-chih4-hue2"
28627,"飛蛾撲火","頭毛試火","tau5-mng5-ci3-hue4","thau5-mng5-chi3-hue2"
28628,"飛鼠","飛鼠","hui1-ci4","hui1-chi2"
28629,"飛漲","大起","dua2-ki4","tua7-khi2"
28630,"飛舞","颺颺飛","iann2-iann2-bue1","iann7-iann7-pue1"
28631,"飛蝗","草蜢公","cau4-meh7-gong1","chau2-meh4-kong1"
28632,"飛輪","紡車輪","pang4-cia1-lun5","phang2-chia1-lun5"
28633,"飛機","飛行機","bue1-hing5-gi1","pue1-hing5-ki1"
28634,"飛機","飛機","hui1-gi1","hui1-ki1"
28635,"飛機場","飛行機場","hui1-hing5-gi1-diunn5","hui1-hing5-ki1-tiunn5"
28636,"飛機場","飛行機埕","hui1-hing5-gi1-diann5","hui1-hing5-ki1-tiann5"
28637,"飛燕草","龍膽花","ling5-dann4-hue1","ling5-tann2-hue1"
28638,"飛颺","颺颺飛","iann2-iann2-bue1","iann7-iann7-pue1"
28639,"飛簷","峭脊","cier1-zit7","chio1-cit4"
28640,"飛簷","翹脊","kiau3-zit7","khiau3-cit4"
28641,"飛簷走壁","飛天掛桷","hui1-ten1-gua3-gak7","hui1-thian1-kua3-kak4"
28642,"飛簷走壁","飛簷走壁","hui1-iam5-zau4-biah7","hui1-iam5-cau2-piah4"
28643,"飛簷走壁","翻天掛桷","huan1-tinn1-gua3-gak7","huan1-thinn1-kua3-kak4"
28644,"飛蟻","大水蚊","dua2-zui4-bhang4","tua7-cui2-bang2"
28645,"飛蟻","大水蝶","dua2-zui4-iah6","tua7-cui2-iah8"
28646,"飛蟻","大水蟻","dua2-zui4-hia2","tua7-cui2-hia7"
28647,"飛蟻","大水蚼蟻","dua2-zui4-gau4-hia2","tua7-cui2-kau2-hia7"
28648,"飛蟻","水蝶","zui4-iah6","cui2-iah8"
28649,"飛蟻","白蟻","beh6-hia2","peh8-hia7"
28650,"飛蟻","飛蟻","bue1-hia2","pue1-hia7"
28651,"食人鯊","煙仔鯊舅","en1-a4-sua1-gu2","ian1-a2-sua1-ku7"
28652,"食不下嚥","食袂落喉","ziah6-bhe2-lerh6-au5","ciah8-be7-loh8-au5"
28653,"食不下嚥","食袂過喉","ziah6-bhe2-gue3-au5","ciah8-be7-kue3-au5"
28654,"食之者眾","喙齒一米籮","cui3-ki4-zit6-bhi4-lua5","chui3-khi2-cit8-bi2-lua5"
28655,"食之者眾","頭喙儕","tau5-cui3-ze2","thau5-chui3-ce7"
28656,"食之者眾,-生之者寡","會食e5儕","e2-ziah6-e5-ze2","e7-ciah8-e5-ce7"
28657,"食之者眾,-生之者寡","會做e5少","e2-zer3-e5-zier4","e7-co3-e5-cio2"
28658,"食古不化","見古","gen3-go4","kian3-koo2"
28659,"食古不化","執古板","zip7-go4-ban4","cip4-koo2-pan2"
28660,"食用鴿","菜鴿","cai3-gap7","chai3-kap4"
28661,"食用雙裳蕨","蕨山貓","gueh7-suann1-niau1","kueh4-suann1-niau1"
28662,"食用雙裳蕨","蕨貓","gueh7-niau1","kueh4-niau1"
28663,"食君之祿,-忠君之事","在秦為秦","zai2-zin5-ui2-zin5","cai7-cin5-ui7-cin5"
28664,"食君之祿,-忠君之事","在楚為楚","zai2-co4-ui2-co4","cai7-choo2-ui7-choo2"
28665,"食君之祿,-忠君之事","食人之祿","sit6-rin5-zi1-lok6","sit8-jin5-ci1-lok8"
28666,"食君之祿,-忠君之事","死人之事","si4-rin5-zi1-su2","si2-jin5-ci1-su7"
28667,"食君之祿,-忠君之事","食人之祿","sit6-rin5-zi1-lok6","sit8-jin5-ci1-lok8"
28668,"食君之祿,-忠君之事","擔人之憂","dam1-rin5-zi1-iu1","tam1-jin5-ci1-iu1"
28669,"食君之祿,-忠君之事","食人飯","ziah6-lang5-bng2","ciah8-lang5-png7"
28670,"食君之祿,-忠君之事","犯人問","huan2-lang5-mng2","huan7-lang5-mng7"
28671,"食君之祿,-忠君之事","食人e5飯","ziah6-lang5-e5-bng2","ciah8-lang5-e5-png7"
28672,"食君之祿,-忠君之事","講人e5話","gong4-lang5-e5-ue2","kong2-lang5-e5-ue7"
28673,"食言","反僥","huan4-hiau1","huan2-hiau1"
28674,"食言","食言","sit6-ghen5","sit8-gian5"
28675,"食言","食話","ziah6-ue2","ciah8-ue7"
28676,"食言","僥反","hiau1-huan4","hiau1-huan2"
28677,"食言","講話無算話","gong4-ue2-bher5-sng3-ue2","kong2-ue7-bo5-sng3-ue7"
28678,"食言而肥","十限九無影","zap6-an2-gau4-bher5-iann4","cap8-an7-kau2-bo5-iann2"
28679,"食言而肥","允人成成","in4-lang5-ziann5-ziann5","in2-lang5-ciann5-ciann5"
28680,"食言而肥","誤人空行","gho2-lang5-kang1-giann5","goo7-lang5-khang1-kiann5"
28681,"食言而肥","前頭講","zing5-tau5-gong4","cing5-thau5-kong2"
28682,"食言而肥","後頭無","au2-tau5-bher5","au7-thau5-bo5"
28683,"食言而肥","約人成成","iok7-lang5-ziann5-ziann5","iok4-lang5-ciann5-ciann5"
28684,"食言而肥","誤人空行","gho2-lang5-kang1-giann5","goo7-lang5-khang1-kiann5"
28685,"食言而肥","騙請害餓","pen3-ciann4-hai2-gher2","phian3-chiann2-hai7-go7"
28686,"食其肉,-啃其骨","食伊e5肉","ziah6-i1-e5-bhah7","ciah8-i1-e5-bah4"
28687,"食其肉,-啃其骨","齧伊e5骨","ke3-i1-e5-gut7","khe3-i1-e5-kut4"
28688,"食物","物食","mih6-ziah6","mih8-ciah8"
28689,"食物","食物","sit6-bhut6","sit8-but8"
28690,"食物","食食","ziah6-sit6","ciah8-sit8"
28691,"食物","喙食物","cui3-ziah6-mih6","chui3-ciah8-mih8"
28692,"食客","弄幫","long2-bang1","long7-pang1"
28693,"食客","食客","sit6-kik7","sit8-khik4"
28694,"食客","蝹先生","un1-sen1-sinn1","un1-sian1-sinn1"
28695,"食指","二指","ri2-zainn4","ji7-cainn2"
28696,"食指","指指","gi4-zainn4","ki2-cainn2"
28697,"食指","食指","sit6-zi4","sit8-ci2"
28698,"食指大動","嚨喉蒂仔噹噹叫","na5-au5-di3-a4-diang1-diang1-gier3","na5-au5-ti3-a2-tiang1-tiang1-kio3"
28699,"食指浩繁","喙齒一米籮","cui3-ki4-zit6-bhi4-lua5","chui3-khi2-cit8-bi2-lua5"
28700,"食指浩繁","頭喙儕","tau5-cui3-ze2","thau5-chui3-ce7"
28701,"食茱萸","紅刺蔥","ang5-ci3-cang1","ang5-chi3-chang1"
28702,"食茱萸","鳥毋踏","ziau4-m2-dah6","ciau2-m7-tah8"
28703,"食得來","食會合","ziah6-e2-hah6","ciah8-e7-hah8"
28704,"食蛇龜","山龜","suann1-gu1","suann1-ku1"
28705,"食蛇龜","蛇龜","zua5-gu1","cua5-ku1"
28706,"食量大","大食","dua2-ziah6","tua7-ciah8"
28707,"食量大","大草唅","dua2-cau4-ham5","tua7-chau2-ham5"
28708,"食量大","大逼虎","dua2-biak7-ho4","tua7-piak4-hoo2"
28709,"食量大","牛腸馬肚","ghu5-dng5-bhe4-do2","gu5-tng5-be2-too7"
28710,"食量小","小食","sier4-ziah6","sio2-ciah8"
28711,"食量小","細食","se3-ziah6","se3-ciah8"
28712,"食量小","貓仔食","niau1-a4-ziah6","niau1-a2-ciah8"
28713,"食道","嚨喉管","na5-au5-gng4","na5-au5-kng2"
28714,"食慾","食興","ziah6-hing3","ciah8-hing3"
28715,"食慾大開","脾土開","bi5-to4-kui1","pi5-thoo2-khui1"
28716,"食慾不振","胃氣bhai4","ui2-ki3-bhai4","ui7-khi3-bai2"
28717,"食慾不振","喙白","cui3-beh6","chui3-peh8"
28718,"食慾不振","喙麩","cui3-per1","chui3-pho1"
28719,"食慾不振","喙汫","cui3-ziann4","chui3-ciann2"
28720,"食慾不振","脾土無開","bi5-to4-bher5-kui1","pi5-thoo2-bo5-khui1"
28721,"食撐了","食傷飽","ziah6-siunn1-ba4","ciah8-siunn1-pa2"
28722,"食齒","正齒","ziann3-ki4","ciann3-khi2"
28723,"食積","食傷","sit6-siong1","sit8-siong1"
28724,"食積","食積","sit6-zik7","sit8-cik4"
28725,"食糧","食糧","ziah6-niu5","ciah8-niu5"
28726,"食蟻獸","鯪鯉","la5-li4","la5-li2"
28727,"食蟹蒙","山棕貓","suann1-zang1-niau1","suann1-cang1-niau1"
28728,"食蟹蒙","棕蓑貓","zang1-sui1-niau1","cang1-sui1-niau1"
28729,"食蟹蒙","蒙哥","bhong5-ger1","bong5-ko1"
28730,"食蟹蒙","膨尾狸","pong3-bhue4-bha5","phong3-bue2-ba5"
28731,"食髓知味","食了知滋味","ziah6-liau4-zai1-zu1-bhi2","ciah8-liau2-cai1-cu1-bi7"
28732,"首先","代先","dai2-sing1","tai7-sing1"
28733,"首先","起頭","ki4-tau5","khi2-thau5"
28734,"首先","頭先","tau5-sing1","thau5-sing1"
28735,"首先","頭起先","tau5-ki4-sing1","thau5-khi2-sing1"
28736,"首先提議","撈話頭","la2-ue2-tau5","la7-ue7-thau5"
28737,"首次","頭過","tau5-gue3","thau5-kue3"
28738,"首尾","頭至尾","tau5-zi3-bhue4","thau5-ci3-bue2"
28739,"首尾","頭尾","tau5-bhue4","thau5-bue2"
28740,"首尾","頭到尾","tau5-gau3-bhue4","thau5-kau3-bue2"
28741,"首屈一指","指頭拇公e5","zing4-tau5-bhu4-gong1-e5","cing2-thau5-bu2-kong1-e5"
28742,"首屈一指","蓋第一","gai3-de2-it7","kai3-te7-it4"
28743,"首屈一指","頭一坎e5","tau5-zit6-kam4-e5","thau5-cit8-kham2-e5"
28744,"首屈一指","頭一枝e5","tau5-zit6-gi1-e5","thau5-cit8-ki1-e5"
28745,"首肯","頓頭","dim3-tau5","tim3-thau5"
28746,"首席","大位","dua2-ui2","tua7-ui7"
28747,"首席","首席","siu4-sik6","siu2-sik8"
28748,"首席","頭手","tau5-ciu4","thau5-chiu2"
28749,"首席","頭位","tau5-ui2","thau5-ui7"
28750,"首徒","大徒弟","dua2-do5-de2","tua7-too5-te7"
28751,"首徒","頭手司仔","tau5-ciu4-sai1-a4","thau5-chiu2-sai1-a2"
28752,"首徒","頭腳司仔","tau5-gierh7-sai1-a4","thau5-kioh4-sai1-a2"
28753,"首徒","頭桱司仔","tau5-ginn3-sai1-a4","thau5-kinn3-sai1-a2"
28754,"首當其衝","承頭槌","sin5-tau5-tui5","sin5-thau5-thui5"
28755,"首腦","眼鳥","ghan4-ziau4","gan2-ciau2"
28756,"首腦","頭人","tau5-lang5","thau5-lang5"
28757,"首腦","頭兄","tau5-hiann1","thau5-hiann1"
28758,"首腦","頭目鳥","tau5-bhak6-ziau4","thau5-bak8-ciau2"
28759,"首飾","首飾","ciu4-sik7","chiu2-sik4"
28760,"首飾","珠仔頭插","zu1-a4-tau5-cah7","cu1-a2-thau5-chah4"
28761,"首飾","頭插","tau5-cah7","thau5-chah4"
28762,"首飾","簪仔頭插","ziam1-a4-tau5-cah7","ciam1-a2-thau5-chah4"
28763,"首鼠兩端","兩覆開笑","liong4-pak7-kui1-cier3","liong2-phak4-khui1-chio3"
28764,"首領","首領","siu4-ling4","siu2-ling2"
28765,"首領","頭人","tau5-lang5","thau5-lang5"
28766,"首領","頭兄","tau5-hiann1","thau5-hiann1"
28767,"首領","頭面頂人","tau5-bhin2-ding4-lang5","thau5-bin7-ting2-lang5"
28768,"首領","總頭","zong4-tau5","cong2-thau5"
28769,"首領","cua2頭e5","cua2-tau5-e5","chua7-thau5-e5"
28770,"香","芳","pang1","phang1"
28771,"香","香","hiunn1","hiunn1"
28772,"香斗","拜斗","bai3-dau4","pai3-tau2"
28773,"香斗","香斗","hiunn1-dau4","hiunn1-tau2"
28774,"香木","芳柴","pang1-ca5","phang1-cha5"
28775,"香水","芳水","pang1-zui4","phang1-cui2"
28776,"香火","香火","hiunn1-hue4","hiunn1-hue2"
28777,"香火","香煙","hiunn1-en1","hiunn1-ian1"
28778,"香片","花茶","hue1-de5","hue1-te5"
28779,"香包","香芳","hiunn1-pang1","hiunn1-phang1"
28780,"香瓜","芳瓜","pang1-gue1","phang1-kue1"
28781,"香瓜","甜瓜","dinn1-gue1","tinn1-kue1"
28782,"香瓜","黃瓜仔","ng5-gue1-a4","ng5-kue1-a2"
28783,"香灰","香灰","hiunn1-hu1","hiunn1-hu1"
28784,"香灰","爐丹","lo5-dan1","loo5-tan1"
28785,"香杉","香杉","hiunn1-sam1","hiunn1-sam1"
28786,"香杉","烏杉","o1-sam1","oo1-sam1"
28787,"香杉","巒大杉","luan5-dua2-sam1","luan5-tua7-sam1"
28788,"香皂","芳雪文","pang1-sap7-bhun5","phang1-sap4-bun5"
28789,"香味","芳味","pang1-bhi2","phang1-bi7"
28790,"香花","芳花","pang1-hue1","phang1-hue1"
28791,"香附","香附","hiong1-hu3","hiong1-hu3"
28792,"香茅","風茅","hong1-hm5","hong1-hm5"
28793,"香茅","香水茅","hiong1-sui4-mau5","hiong1-sui2-mau5"
28794,"香茅","香茅","hiang1-hm5","hiang1-hm5"
28795,"香苦草","山香","suann1-hiunn1","suann1-hiunn1"
28796,"香苦草","狗母蘇","gau4-bhu4-so1","kau2-bu2-soo1"
28797,"香苦草","臭狗蘇","cau3-gau4-so1","chau3-kau2-soo1"
28798,"香苦草","臭膻子","cau3-hen3-zi4","chau3-hian3-ci2"
28799,"香料","芳料","pang1-liau2","phang1-liau7"
28800,"香氣四溢","芳沖沖","pang1-cing3-cing3","phang1-ching3-ching3"
28801,"香粉","面粉","bhin2-hun4","bin7-hun2"
28802,"香粉","膨粉","pong3-hun4","phong3-hun2"
28803,"香帶","香芳","hiunn1-pang1","hiunn1-phang1"
28804,"香甜","芳甜","pang1-dinn1","phang1-tinn1"
28805,"香袋","香包","hiunn1-bau1","hiunn1-pau1"
28806,"香袋","香袋","hiunn1-de2","hiunn1-te7"
28807,"香魚","年魚","ni5-hi5","ni5-hi5"
28808,"香魚","國姓魚","gok7-sing3-hi5","kok4-sing3-hi5"
28809,"香魚","傑魚","get6-hi5","kiat8-hi5"
28810,"香奠","弔禮","diau3-le4","tiau3-le2"
28811,"香奠","白包","beh6-bau1","peh8-pau1"
28812,"香奠","香奠","hiunn1-den2","hiunn1-tian7"
28813,"香奠","紙敬","zua4-ging3","cua2-king3"
28814,"香奠","紙儀","zua4-ghi5","cua2-gi5"
28815,"香港饅頭果","大紅心","dua2-ang5-sim1","tua7-ang5-sim1"
28816,"香港饅頭果","大葉饅頭果","dua2-hierh6-bhin2-tau5-ger4","tua7-hioh8-bin7-thau5-ko2"
28817,"香華","香華","hiong1-hua1","hiong1-hua1"
28818,"香菜","芫荽","en5-sui1","ian5-sui1"
28819,"香菇","冬菇","dang1-go1","tang1-koo1"
28820,"香菇","香菇","hiunn1-go1","hiunn1-koo1"
28821,"香楠","香楠","hiunn1-lam5","hiunn1-lam5"
28822,"香楠","臭屎楠","cau3-sai4-lam5","chau3-sai2-lam5"
28823,"香楠","細葉楠","se3-hierh6-lam5","se3-hioh8-lam5"
28824,"香楠","瑞芳楠","sui2-hong1-lam5","sui7-hong1-lam5"
28825,"香楠","落屎楠","lau3-sai4-lam5","lau3-sai2-lam5"
28826,"香椿","紅椿樹","ang5-cun1-ciu2","ang5-chun1-chiu7"
28827,"香煙","香火","hiunn1-hue4","hiunn1-hue2"
28828,"香煙","香煙","hiunn1-en1","hiunn1-ian1"
28829,"香煙","薰","hun1","hun1"
28830,"香煙","薰枝","hun1-gi1","hun1-ki1"
28831,"香腸","煙腸","en1-ciang5","ian1-chiang5"
28832,"香腸","臘腸","lah6-ciang5","lah8-chiang5"
28833,"香葵","三跤破","sann1-ka1-pua3","sann1-kha1-phua3"
28834,"香葵","三跤鱉","sann1-ka1-bih7","sann1-kha1-pih4"
28835,"香葵","藥虎","ierh6-ho4","ioh8-hoo2"
28836,"香葵","磟碡草","lak6-dak6-cau4","lak8-tak8-chau2"
28837,"香蒲","水燭","zui4-zik7","cui2-cik4"
28838,"香蒲","香蒲","hiunn1-bo5","hiunn1-poo5"
28839,"香噴噴","芳沖沖","pang1-cing3-cing3","phang1-ching3-ching3"
28840,"香噴噴","芳貢貢","pang1-gong3-gong3","phang1-kong3-kong3"
28841,"香噴噴","芳噴噴","pang1-pun3-pun3","phang1-phun3-phun3"
28842,"香橙","香柑","hiunn1-gam1","hiunn1-kam1"
28843,"香蕉","甘蕉","gam1-zier1","kam1-cio1"
28844,"香蕉","芎蕉","ging1-zier1","king1-cio1"
28845,"香蕉油","芎蕉油","ging1-zier1-iu5","king1-cio1-iu5"
28846,"香蕉樹","芎蕉欉","ging1-zier1-zang5","king1-cio1-cang5"
28847,"香燭店","香店","hiunn1-diam3","hiunn1-tiam3"
28848,"香螺","香螺","hiunn1-le5","hiunn1-le5"
28849,"香馥馥","芳沖沖","pang1-cing3-cing3","phang1-ching3-ching3"
28850,"香馥馥","芳貢貢","pang1-gong3-gong3","phang1-kong3-kong3"
28851,"香馥馥","芳噴噴","pang1-pun3-pun3","phang1-phun3-phun3"
28852,"香鼩","尖鼠","ziam1-ci4","ciam1-chi2"
28853,"香鼩","錢鼠","zinn5-ci4","cinn5-chi2"
28854,"香櫞","香櫞","hiunn1-inn5","hiunn1-inn5"
28855,"乘火打劫","搶火燒","ciunn4-hue4-sier1","chiunn2-hue2-sio1"
28856,"乘客","乘客","sing5-keh7","sing5-kheh4"
28857,"乘客","搭客","dah7-keh7","tah4-kheh4"
28858,"乘涼","吹涼","cue1-liang5","chue1-liang5"
28859,"乘涼","坐涼","ze2-liang5","ce7-liang5"
28860,"乘涼","秋凊","ciu1-cin3","chiu1-chin3"
28861,"乘涼","納涼","nah7-liang5","nah4-liang5"
28862,"乘涼","閃涼","siam4-liang5","siam2-liang5"
28863,"乘涼","歇涼","hierh7-liang5","hioh4-liang5"
28864,"乘涼","歇影","hierh7-iann4","hioh4-iann2"
28865,"乘涼","歇蔭","hierh7-ng4","hioh4-ng2"
28866,"乘虛","趁縫","tan3-pang2","than3-phang7"
28867,"乘隙","潛縫","cang3-pang2","chang3-phang7"
28868,"乘機","趁勢","tan3-se3","than3-se3"
28869,"乘機","趁機會","tan3-gi1-hue2","than3-ki1-hue7"
28870,"乘機","順勢","sun2-se3","sun7-se3"
28871,"乘機","順機會","sun2-gi1-hue2","sun7-ki1-hue7"
28872,"乘興而去,-敗興而返","欲去紅膏赤蠽","bheh7-ki3-ang5-ger1-ciah7-zih6","beh4-khi3-ang5-ko1-chiah4-cih8"
28873,"乘興而去,-敗興而返","轉來鼻流瀾滴","dng4-lai5-pinn2-lau5-nua2-dih7","tng2-lai5-phinn7-lau5-nua7-tih4"
28874,"乘龍快婿","馬上婿","bhe4-ziunn2-sai3","be2-ciunn7-sai3"
28875,"倍伴","鬥伴壇","dau3-puann2-duann5","tau3-phuann7-tuann5"
28876,"俯下","坦覆","tan4-pak7","than2-phak4"
28877,"俯伏","反坦蓋","bing4-tan4-kap7","ping2-than2-khap4"
28878,"俯伏","反坦覆","bing4-tan4-pak7","ping2-than2-phak4"
28879,"俯伏","反蓋","bing4-kap7","ping2-khap4"
28880,"俯伏","交輦覆","ga1-len4-pak7","ka1-lian2-phak4"
28881,"俯伏","坦覆","tan4-pak7","than2-phak4"
28882,"俯伏","偃覆","en4-pak7","ian2-phak4"
28883,"俯仰","蓋笑","kap7-cier3","khap4-chio3"
28884,"俯仰","覆笑","pak7-cier3","phak4-chio3"
28885,"俯仰無愧","舉頭會對天","ghiah6-tau5-e2-dui3-tinn1","giah8-thau5-e7-tui3-thinn1"
28886,"俯身","偃身","ann3-sin1","ann3-sin1"
28887,"俯臥","睏坦覆","kun3-tan4-pak7","khun3-than2-phak4"
28888,"俯臥","覆咧睏","pak7-leh7-kun3","phak4-leh4-khun3"
28889,"俯拾皆是","大莽四界","dua2-bhong4-si3-ge3","tua7-bong2-si3-ke3"
28890,"俯拾皆是","滿六萬","mua4-lak6-bhan2","mua2-lak8-ban7"
28891,"俯拾皆是","滿四界","mua4-si3-ge3","mua2-si3-ke3"
28892,"俯首","偃頭","ann3-tau5","ann3-thau5"
28893,"俯倒","倒坦蓋","der4-tan4-kap7","to2-than2-khap4"
28894,"俯睡","睏坦覆","kun3-tan4-pak7","khun3-than2-phak4"
28895,"俯睡","覆咧睏","pak7-leh7-kun3","phak4-leh4-khun3"
28896,"俯衝","cih7低","cih7-ge2","chih4-ke7"
28897,"倦怠","軟痠","nng4-sng1","nng2-sng1"
28898,"俸陪到底","食凊飯當等","ziah6-cin3-bng2-dng1-dan4","ciah8-chin3-png7-tng1-tan2"
28899,"值日","值日","dit6-rit6","tit8-jit8"
28900,"值日","著日","dierh6-rit6","tioh8-jit8"
28901,"值日","當值","dong1-dit6","tong1-tit8"
28902,"值月","著月","dierh6-ghueh6","tioh8-gueh8"
28903,"值年","著年","dierh6-ni5","tioh8-ni5"
28904,"值夜","著暝","dierh6-mi5","tioh8-mi5"
28905,"值班","值班","dit6-ban1","tit8-pan1"
28906,"值班","著班","dierh6-ban1","tioh8-pan1"
28907,"值得","會值得","e2-dat6-dit7","e7-tat8-tit4"
28908,"值得告慰","卡值霎仔","kah7-dit6-diap6-a4","khah4-tit8-tiap8-a2"
28909,"借刀殺人","別人e5拳頭拇舂石獅","bat6-lang5-e5-gun5-tau5-bher4-zing1-zierh6-sai1","pat8-lang5-e5-kun5-thau5-bo2-cing1-cioh8-sai1"
28910,"借刀殺人","借刀殺人","zierh7-der1-sat7-rin5","cioh4-to1-sat4-jin5"
28911,"借力使力","別人e5拳頭拇舂石獅","bat6-lang5-e5-gun5-tau5-bher4-zing1-zierh6-sai1","pat8-lang5-e5-kun5-thau5-bo2-cing1-cioh8-sai1"
28912,"借力使力","順風駛船","sun2-hong1-sai4-zun5","sun7-hong1-sai2-cun5"
28913,"借力使力","順風sak7倒牆","sun2-hong1-sak7-der4-ciunn5","sun7-hong1-sak4-to2-chiunn5"
28914,"借口","借詞","ziah7-su5","ciah4-su5"
28915,"借口","藉話","zia3-ue2","cia3-ue7"
28916,"借光","借問","zierh7-mng2","cioh4-mng7"
28917,"借名斂財","起肚亭","ki4-do2-ding5","khi2-too7-ting5"
28918,"借名斂財","起腸肚庵","ki4-dng5-do2-am1","khi2-tng5-too7-am1"
28919,"借住","借帶","zierh7-dua3","cioh4-tua3"
28920,"借住","借徛","zierh7-kia2","cioh4-khia7"
28921,"借花獻佛","別人e5桌頂","bat6-lang5-e5-derh7-ding4","pat8-lang5-e5-toh4-ting2"
28922,"借花獻佛","挾肉飼大家","ngeh7-bhah7-ci2-dann2-ge1","ngeh4-bah4-chi7-tann7-ke1"
28923,"借屍還魂","借屍還魂","zierh7-si1-huan5-hun5","cioh4-si1-huan5-hun5"
28924,"借風駛船","褪褲扑掙","tng3-ko3-pah7-zing1","thng3-khoo3-phah4-cing1"
28925,"借風駛船","褪褲喝大步","tng3-ko3-huah7-dua2-bo2","thng3-khoo3-huah4-tua7-poo7"
28926,"借酒澆愁","lim1酒解憂愁","lim1-ziu4-gai4-iu1-ciu5","lim1-ciu2-kai2-iu1-chiu5"
28927,"借宿","借歇","zierh7-hierh7","cioh4-hioh4"
28928,"借條","借字","zierh7-ri2","cioh4-ji7"
28929,"借詞拒絕","起掔頭","ki4-ken3-tau5","khi2-khian3-thau5"
28930,"借貸","欠人人欠","kiam3-lang5-lang5-kiam3","khiam3-lang5-lang5-khiam3"
28931,"借貸無門","伸手碰著壁","cun1-ciu4-bong2-dierh6-biah7","chun1-chiu2-pong7-tioh8-piah4"
28932,"借據","借字","zierh7-ri2","cioh4-ji7"
28933,"借據","借單","zierh7-duann1","cioh4-tuann1"
28934,"借據","借據","zierh7-gu3","cioh4-ku3"
28935,"倚仗","靠勢","ker3-se3","kho3-se3"
28936,"倚多為勝","儕著贏","ze2-dierh6-iann5","ce7-tioh8-iann5"
28937,"倚老賣老","食鹽卡儕過食米","ziah6-iam5-kah7-ze2-gue3-ziah6-bhi4","ciah8-iam5-khah4-ce7-kue3-ciah8-bi2"
28938,"倚老賣老","假老大","ge4-lau2-dua2","ke2-lau7-tua7"
28939,"倚老賣老","過橋卡儕過行路","gue3-gier5-kah7-ze2-gue3-giann5-lo2","kue3-kio5-khah4-ce7-kue3-kiann5-loo7"
28940,"倚靠","並","ping2","phing7"
28941,"倚靠","依倚","i1-ua4","i1-ua2"
28942,"倚靠","所靠","so4-ker3","soo2-kho3"
28943,"倚靠","倚並","ua4-ping2","ua2-phing7"
28944,"倚靠","倚按","ua4-huann2","ua2-huann7"
28945,"倚靠","倚靠","ua4-ker3","ua2-kho3"
28946,"倚賴","倚賴","ua4-lua2","ua2-lua7"
28947,"倒八字鬚","蹺鬚","kiau3-ciu1","khiau3-chiu1"
28948,"倒也","都也","der1-ia2","to1-ia7"
28949,"倒不如","卡輸","kah7-su1","khah4-su1"
28950,"倒反","毋著頭","m2-dierh6-tau5","m7-tioh8-thau5"
28951,"倒反","倒反","der3-bing4","to3-ping2"
28952,"倒反","倒頭","der3-tau5","to3-thau5"
28953,"倒反","顛倒頭","den1-der3-tau5","tian1-to3-thau5"
28954,"倒反","顛倒爿","den1-der3-bing5","tian1-to3-ping5"
28955,"倒戈相向","使倒頭槌","sai4-der3-tau5-tui5","sai2-to3-thau5-thui5"
28956,"倒打一耙","使倒拖刀","sai4-der3-tua1-der1","sai2-to3-thua1-to1"
28957,"倒打一耙","使倒頭槌","sai4-der3-tau5-tui5","sai2-to3-thau5-thui5"
28958,"倒打一耙","倒咬狗","der3-ga2-gau4","to3-ka7-kau2"
28959,"倒立","倒栽","der3-zai1","to3-cai1"
28960,"倒立","倒徛騰","der3-kia2-ting5","to3-khia7-thing5"
28961,"倒立","徛白魚","kia2-beh6-hi5","khia7-peh8-hi5"
28962,"倒立","徛屍騰","kia2-si1-ting5","khia7-si1-thing5"
28963,"倒立","徛飛魚","kia2-bue1-hi5","khia7-pue1-hi5"
28964,"倒立","徛倒騰","kia2-der3-ting5","khia7-to3-thing5"
28965,"倒立","徛騰反狗仔","kia2-ting5-huan4-gau4-a4","khia7-thing5-huan2-kau2-a2"
28966,"倒立走","閹雞行","iam1-ge1-giann5","iam1-ke1-kiann5"
28967,"倒伏","倒匍","der4-bo5","to2-poo5"
28968,"倒伏","倒欉","der4-zang5","to2-cang5"
