"國語漢字","台語拼音","國語注釋"
"迫不及待","bik1-but1-gip1-tai2","急迫得不能再等待。"
"迫切","bik1-cet2","急切、緊急。"
"壓迫","ap1-bik2","用威勢壓制。"
"強迫","giong2-bik2","用強大的力量來壓迫。口語（giang2-bik2）。-"
"句法","gu4-huat2","句子的結構方法。"
"句讀","gu4-do2","古文詞停頓的地方，句為語義完整的部分，讀則否，但為可小停的小段落。"
"文句","bhun2-gu3","文字的句子。"
"語句","(ghi1/ghu1)-gu3","口語的句子。"
"造句","zor3-gu3","作句子。"
"豐滿","hong2-bhuan4","豐富充足。"
"豐盈","hong2-ing5","豐滿。"
"豐饒","hong2-(riau5/liau5)","富饒。"
"豐富","hong2-hu3","富裕充足。"
"豐裕","hong2-ru2","富裕。"
"豐年","hong2-len5","農作物豐收的年頭。又音（hong2-ni5）。"
"豐碩","hong2-sik2","果實多而大。"
"豐盛","hong2-sing2","豐富而多。"
"豐收","hong2-siu1","農作物的收成好。"
"豐足","hong2-ziok2","富足、充足。"
"培訓","bue2-hun3","培養和訓練。"
"培育","bue2-iok1","培植養育。"
"培養","bue2-iong4","培植。"
"培植","bue2-sit1","栽培。"
"栽培","zai2-bue5","種植培養。"
"握別","ak1-bet1","握手分別。"
"把握","ba1-ak2","掌握。"
"掌握","ziang1-ak2","控制支配。"
"擔架","dam2-ga3","抬人用的布架子。"
"擔任","dam2-(rim2/lim2)","負責擔任某項職務。"
"擔保","dam2-bor4","保證。"
"擔心","dam2-sim1","放心不下。"
"擔當","dam2-dng1","接受並負責。"
"負擔","hu3-dam1","加在身上的責任。"
"承擔","sing2-dam1","負起責任。"
"擔-(bhe/bhue)-起","dann2-(bhe3/bhue3)-ki4","挑不起、負不起責任。"
"擔擔","dann2-dann3","挑擔子。"
"扁擔","binn1-dann1","扁形挑東西的竹棍子，有訛音為（bunn1-dann1）。"
"尖擔","ziam2-dann1","兩端削成尖形挑東西的竹棍子。"
"擔子","dann1-a4","攤子，“路邊擔仔”（lo3-binn2-dann1-a4）擺在路側的攤販，“菜擔仔”（cai4-dann1-a4）蔬菜攤販。"
"擔頭","dann4-tau5","擔子、喻責任。"
"點心擔","diam1-sim2-dann3",
"弦樂器","hen2-ghak3-ki3","“管弦樂”（guan1-hian2-ghak1）。"
"弦外之音","hen2-ghua2-zi2-im1","喻言外之意。"
"蛋黃","dan4-hong5","口語說“卵仁”（lng3-(rin5/ghin5/lin5)）。"
"蛋糕","dan4-gor1","口語說“雞卵糕”（ge2-lng3-gor1）。"
"蛋白質","dan4-bik3-zit2",
"皮蛋","pi2-dan3","有氨味的鴨蛋。"
"沈默","dim2-bhik1","少說話。"
"沈悶","dim2-bhun2","沈重煩悶。"
"沈沒","dim2-bhut1","沈入水中。"
"沈香","dim2-(hiunn1/hionn1)","有香味的木材又叫伽南香。"
"沈思","dim2-su1","深入思考。"
"沈睡","dim2-sui2","熟睡。"
"沈重","dim2-dang2","重而程度深。"
"沈澱","dim2-den2","液體中不溶解的物質，往下面沈。"
"沈痛","dim2-tong3","深深的悲痛。"
"沈着","dim2-diok1","鎮靜、不慌不忙，口語說“在在”（zai3-zai2）。"
"沈積","dim2-zik2","沈澱、堆積。"
"沈靜","dim2-zing2","寂靜、平靜。"
"浮沈","hu2-dim5","隨着社會風氣走。"
"消沈","siau2-dim5","情緒低落。"
"假名","ga1-bhing5","日文的字母。"
"假寐","ga1-bhi2","不脫衣服小睡。口語說“目捎是”（bhak3-sa2-si2）。"
"假若","ga1-riok1","假如。"
"假如","ga1-ru5","倘若，如果。"
"假公濟私","ga1-gong1-ze4-su1","假借公家名義取得私人利益。"
"假冒","ga1-mo2","冒充。"
"假釋","ga1-sik2","暫時釋放。"
"假設","ga1-set2","假定。"
"假使","ga1-su4","如果、假如。"
"假定","ga1-ding2","姑且認定。"
"假借","ga1-(ziorh2/zia3)","借用某種名義、力量以達到目的。"
"假的","ge4-e0","不是真的。"
"假面具","ge1-bhin3-ku2","仿製的面具。"
"假-ghau-","ge1-ghau5","自做聰明。"
"假意","ge1-i3","虛假的心意。"
"假佯","ge1-iann3","虛假的。"
"假袍","ge1-bau5","冒充。"
"假死","ge1-si4","裝死。"
"假仙","ge1-sen1","欺騙、裝假。"
"假痟","ge1-siau4","裝瘋賣傻。"
"假做…","ge1-zor4","假裝為…。"
"假期","ga1-gi5","放假或告假的期日。"
"假日","ga1-(rit1/lit1)","休假日子。"
"婚假","hun2-ga4","因結婚而放假。"
"放假","(bang4/hong4)-ga4","給予休假。"
"准假","zun1-ga4","核准休假。"
"休假","hiu2-ga4","按規定停止工作或學習，或這種期間。"
"補假","bo1-ga4","給予應休假而沒休假者以休假。"
"穿孔","cuan2-kong4","貫通小孔，口語音（cng2-kang1）。"
"穿山甲","cuan2-san2-gah2","口語說“蟟鯉”（la2-li4）。"
"穿戴","cuan2-dai3","穿的和戴的。"
"穿著","cuan2-diok1","裝束，口語說“衫穿”（sann1-cing3）。"
"穿插","cuan2-cah2","插（夾）入一些情節，口語為（cing3-cah2）意為衣着、打扮。"
"穿鑿","cuan2-cok1","牽強附會解釋。"
"穿越","cuan2-uat2","跨過。"
"貫穿","guan4-cuan1","通過、穿過。"
"穿孔","cng2-kang1","貫通小孔。"
"穿梭","cng2-so1","形容來往頻繁。"
"穿線","cng2-suann3","將線穿過針孔。"
"穿針引線","cng2-ziam1-in1-suann3",
"一穿一穿","zit3-cng1-zit3-cng1","一個小孔、一個小孔。"
"蛀穿","ziu4-cng1","蛀孔。"
"穿孝","cing3-ha3","穿孝服。"
"穿互好","cing3-ho3-hor4","穿好。"
"穿〔美〕水衫","cing3-sui1-sann1","穿漂亮的衣服。"
"執迷不悟","zip1-bhe5-but1-ngo2","堅持錯誤而不覺悟。"
"執行","zip1-hing5","實地進行。"
"執法","zip1-huat2","執行法律。"
"執意","zip1-i3","堅持自己的意見。"
"執事","zip1-su2","事務擔任者。"
"執政","zip1-zing3","掌理政治。"
"執照","zip1-ziau3","許可證。"
"執掌","zip1-ziang4","掌管。"
"執着","zip1-diok1","對某事堅持到底，有“固執”（go4-zip2）之意。"
"回執","hue2-zip2","憑單，又叫“收執”（siu2-zip2）。"
"答案","dap1-an3","問題的解答。"
"答復","dap1-hok1","回答。"
"答禮","dap1-le4","回禮。"
"答辯","dap1-ben2","以答覆方式辯說。"
"答謝","dap1-sia2","向人表示謝意。"
"答詞","dap1-su5","回報謝意的言詞。"
"問答","bhun3-dap2","發問與回答。"
"報答","bor4-dap2","酬謝恩惠。"
"答應","dah1-ing3","又音（dap1-ing3）應聲回答、承諾。"
"樂園","lok3-hng5","快樂的園地。"
"樂意","lok3-i3","甘心願意。"
"樂觀","lok3-guan1","充滿希望信心。"
"樂土","lok3-to4","安樂的好地方。"
"樂天","lok3-ten1","安於自己的處境，沒任何憂慮。"
"樂趣","lok3-cu3","有快活的意味。"
"歡樂","huan2-lok1","歡喜快樂。"
"快樂","kuai4-lok1","歡樂愉快。"
"暢樂","tiong4-lok1","亦說“樂暢”。"
"樂器","ghak3-ki3","奏樂所用的器具。"
"樂曲","ghak3-kiok2","音樂的曲調。"
"樂譜","ghak3-po4","樂曲的譜。"
"樂隊","ghak3-dui2","演奏音樂的團隊。"
"樂團","ghak3-tuan5","演出音樂的團體。"
"順月","sun3-(ghueh1/gheh1)","臨產（生小孩）之月。"
"順風","sun3-hong1","送行用語，祝一路平安之意。"
"順延","sun3-en5","依序延期。"
"順行","sun3-giann5","送客歸去的用語。"
"順耳","sun3-ni4","聽了舒服。又說“中聽”（ding4-tiann1）。"
"順路","sun3-lo2","順道、順着路線折往某處。"
"順利","sun3-li2","做事順手。"
"順便","sun3-ben2","就便。"
"順序","sun3-su2","依照次序。"
"順續","sun3-sua3","乘便（做）。"
"順差","sun3-ca1","出超（出口多過進口），反義語“逆差”（ghik3-ca1）。"
"順從","sun3-ziong5","服從不違抗。"
"順手","sun3-ciu4","適合，辦事順利不彆扭。"
"風調雨順","hong2-diau1-u1-sun2",
"煙霧","en2-bhu2","泛指煙霧雲氣等。"
"煙雲","en2-hun5","飄散不定，像煙氣和雲。"
"煙花","en2-hua1","指與娼妓有關者，如“煙花女”（ian2-hua2-(lu4/li4)）。"
"煙火","en2-hue4","焰火，發射在夜空爆出彩色的火花。"
"煙斗","en2-dau4","口語為“熏斗”（hun2-dau4）。"
"煙筒","en2-dang5","煙囪。"
"煙草","en2-cau4","一種生草名，乾葉可製捲煙或各種煙絲。口語為“熏草”（hun2-cau4）。"
"香煙","hiong2-en1","香的煙氣。口語為（hiunn2-ian1）喻有子孫（祭拜）。"
"縮影","sok1-(ing4/iann4)","實體的投影。"
"縮寫","sok1-sia4","略寫。"
"縮小","sok1-siau4","使由大變小。"
"縮短","sok1-duan4","變短。"
"緊縮","gin1-sok2","縮小變少。"
"徵文","zing2-bhun5","徵集文稿。"
"徵用","zing2-iong2","指政府為公用或軍事需要而借用或付價使用私有的土地房屋或其他財物。"
"徵求","zing2-giu5","由各處尋求收集。"
"徵購","zing2-go3","政府依法律購買。"
"徵兵","zing2-bing1","政府召集人民服兵役。"
"徵聘","zing2-ping3","招聘。"
"徵象","zing2-siong2","徵候、兆象。"
"徵收","zing2-siu1","因公用的需要而由政府出價收買私有土地物資。"
"徵詢","zing2-sun5","徵求意見。"
"徵調","zing2-diau3","徵集調用。"
"徵兆","zing2-diau2","預兆、兆示。"
"徵集","zing2-zip1","政府公開收集。"
"應徵","ing4-zing1","參加徵求。"
"特徵","dik3-zing1","事物的特殊徵象。"
"征服","zing2-hok1","用力量使屈服。"
"征伐","zing2-huat1","討伐。"
"征帆","zing2-pang5","運行的船。"
"征討","zing2-tor4","征伐，出兵討伐。"
"征途","zing2-do5","遠行的路途。"
"出征","cut1-zing1","出外征戰。"
"征戰","zing2-zen3","出征打仗。"
"喜愛","hi1-ai3","喜歡。“意愛”（i4-ai3）。"
"喜劇","hi1-gik1","皆大歡喜收場的戲劇。"
"喜事","hi1-su2","婚嫁或慶賀的事。"
"喜氣","hi1-ki3","歡喜的氣氛。"
"喜色","hi1-sik2","歡喜的面色、神色。"
"賀喜","hor3-hi4","祝賀喜事。"
"喜酒","hi1-ziu4","結婚的酒席。"
"喜鵲","hi1-ciok2","一種報喜的鳥。"
"歡喜","huann2-hi4","高興。"
"有喜","u3-hi4","喻懷孕。"
"鬆懈","song2-hai2","注意力不集中，關係不密切。"
"鬆散","song2-san3","散亂的樣子。"
"蓬鬆","pong2-song1","鬆散。"
"鬆化化","sang2-hua4-hua3","鬆散分離，如“蕃薯鬆化化”（huan2-zu5-sang2-hua4-hua3）地瓜的質地鬆散。"
"鬆散","sang2-suann3","物品質地疏鬆，容易散開。"
"輕鬆","kin2-sang1","不煩重。"
"乾鬆","da2-sang1","乾燥而鬆爽。"
"香灰鬆鬆","(hiunn2/hionn2)-hu1-sang2-sang1","香的灰燼鬆軟。"
"松明","siong2-bhing5","點燃照明用的松樹枝。"
"松香","siong2-hiong1","松脂蒸餾後剩下的物質，為油漆、肥皂、造紙等的原料。"
"松鼠","siong2-ci4","即“椪鼠”（pong4-ci4）。"
"松柏常青","siong2-bik2-siong2-cing1","喻長久不衰老。"
"松濤","siong2-dor5","松樹枝因風吹動發出如波濤之聲。"
"腳后肚","ka2-au3-do4","小腿的背部、腓，小腿肚子，又說“腳肚”。"
"腳目","ka2-bhak1","腳踝隆起的骨。"
"腳印","ka2-in3","腳踩過的痕跡。"
"腳迹〔跡〕","ka2-riah2","腳印。"
"腳爪","ka2-riau4","動物的腳爪子。"
"腳氣","ka2-ki3","缺乏維他命Ｂ所引起的腳氣病（ka2-ki4-(benn2/binn2)）會水腫或麻痺。"
"腳骨","ka2-gut2","指腳或腳的骨。"
"腳球","ka2-giu5","足球。"
"腳","ka2-liam5","脛骨。"
"腳鐐","ka2-liau5","套在腳部限制行動的刑具。"
"腳帛","ka2-beh1","婦女纏腳蹄（掌）用的長布條，一般多白色。"
"腳步","ka2-bo2","行走時腳的動作。"
"腳","ka2-sau1","品質不好。"
"腳本","ka2-bun4","戲劇等的底本。"
"腳賬","ka2-siau3","伙伴、人手，“無腳賬”（bhor2-ka2-siau3）人手不夠。"
"腳踏車","ka2-dah3-cia1","自行車。又“鐵馬”（tih1-bhe4）。"
"腳筒","ka2-dang5","小腿的正面部分、脛。"
"腳³蹄","ka2-de5","腳掌。"
"腳擋","ka2-dong3","腳踩的煞車。"
"腳桶","ka2-tang4","洗腳、衣用大型木盆。"
"腳頭窩","ka2-tau2-u1","膝蓋頭。"
"腳腿","ka2-tui4","指大腿。"
"腳脊后","ka2-ziah1-au2","背後。"
"腳脊","ka2-ziah2","背部，又說“腳脊骿”（ka2-ziah1-piann1）。"
"腳脊溝","ka2-ziah1-gau1","背部低凹長溝。"
"腳注","ka2-zu3","正文下面添注或說明的文字。"
"山腳","suann2-ka1","山麓。"
"腳手","ka2-ciu4","腳和手，又人手、部下。“好腳手”（hor1-ka2-ciu4）動作敏捷，“無腳手”（bhor2-ka2-ciu4）沒人手。"
"尻川","ka2-cng1","臀部，“尻川孔”（ka2-cng2-au3-ue2）背地裡說是非。“腳倉”宜作“尻川”。"
"無夠腳","bhor2-gau4-ka1","人不夠（賭博時）。"
"架腳","(kue4/ke4)-ka1","墊腳，又腳靠在上面。"
"踡腳","kue2-ka1","因麻痺致腳不自由，“踡腳破相”（khue2-ka2-pua4-(siunn3/sionn3)）-跛腳殘障。"
"椅仔腳","i1-a1-ka1","椅子底下。"
"桌腳","dorh1-ka1","桌子的腳，又桌子下面。"
"困厄","kun4-ik2","艱難的處境。"
"困惑","kun4-hik1","感到疑難莫辨。"
"困乏","kun4-huat1","疲乏。"
"困境","kun4-ging4","困苦的境況。"
"困苦","kun4-ko4","艱難窮苦。"
"困難","kun4-lan5","窮困、有阻礙。"
"艱困","gan2-kun3","艱難困苦。"
"困守","kun4-siu4","在被圍困中堅守。"
"睏無夠眠","kun4-bhor2-gau4-bhin5","睡眠不足。"
"睏一大睏","kun4-zit3-dua3-kun3","睡了一大覺。"
"愛睏","ai4-kun3","想睡。"
"歇睏","hiorh1-kun3","休息。"
"停睏","ting2-kun3","歇息。"
"-(bhe/bhue)-食-(bhe/bhue)-睏","(bhue3/bhe3)-ziah3-(bhue3/bhe3)-kun3","寢食難安。"
"異議","i3-ghi2","不同意。"
"異鄉","i3-hiong1","他鄉。"
"異日","i3-rit1","他日。"
"異國","i3-gok2","外國。"
"異己","i3-gi4","與自己不同立場、意見的人。"
"異常","i3-siong5","不尋常、不正常。"
"異性","i3-sing3","性別不同。"
"異地","i3-de2","他鄉外地。"
"異同","i3-dong5","差異和一致。"
"異端","i3-duan1","與正統思想不同的主張或教義。"
"優異","iu2-i2","特別好。"
"驚異","giann2-i2","驚奇並感怪異。"
"免役","bhen1-ik1","免除勞役或兵役。"
"免疫","bhen1-ik1","免除患某種傳染病。"
"免刑","bhen1-hing5","免予刑事處分。"
"免費","bhen1-hui3","不必計錢。又說“免錢”（bhian1-zinn5）。"
"免來","bhen1-lai5","不必來。"
"免票","bhen1-pior3","不要入門票。"
"免不了","bhen1-but1-liau4","無法避免。"
"免除","bhen1-(du5/di5)","免去、免掉。"
"未免","bhi3-bhen4","確實是、豈非。"
"免職","bhen1-zit2","解除職務。"
"免罪","bhen1-zue2","不問罪。"
"難免","lan2-bhen4","免不了。"
"毋免","m3-bhen4","不必、不用。"
"避免","bi3-bhen4","又訛音（piah1-bhian4）避脫、避開。"
"背面","bue3-bhin2","後面。口語說“倒面”（dor4-bhin2）。"
"背後","bue3-au2","背地裏。"
"背負","bue3-hu2","負荷。"
"背約","bue3-iok2","違反約定。"
"背棄","bue3-ki3","違背和拋棄。"
"背景","bue3-ging4","背後的景況。"
"背離","bue3-li2","違背、離開。"
"背念","bue3-liam2","背誦。"
"背叛","bue3-puan3","背離叛變。"
"背信","bue3-sin3","違反信義。"
"背道而馳","bue3-dor2-ri2-di5","朝着相反的方向跑，喻目標方向相反。"
"背書","bue3-su1","在票據背面簽章。"
"手背","ciu1-bue2","手掌表（背）面。"
"違背","ui2-bue2","違反、背叛。"
"背包","be3-bau1","背負東西的用具。"
"背包袱","be3-bau2-hok1","背負包袱。"
"背帶","be3-dua3","即“吊帶”（diau4-dua3）。"
"背銃","be3-cing3","背着鎗。"
"星雲","sing2-hun5","像雲霧的天體。"
"星期","sing2-gi5","七日一週。"
"星夜","sing2-ia2","有星辰的夜晚。"
"星球","sing2-giu5","指星，因屬球形。"
"星河","sing2-hor5","指銀河。"
"星座","sing2-zor2","星空的區域。"
"星空","sing2-kong1","有星的夜空。"
"星散","sing2-san3","如星散佈天空般、喻四散。"
"星辰","sing2-sin5","星的總稱。"
"星斗","sing2-do4","泛稱星。"
"星宿","sing2-siu3","星座有28宿。"
"明星","bhing2-sing1","又音（bhing2-(cenn/cinn)）在藝界從事表演工作的有名的人物。"
"救星","giu4-cinn1","解脫別人的苦難。"
"掃帚星","sau4-ciu1-cinn1","即彗星，又叫“長尾星”（dng2-bhue1-cinn1）。"
"歹星","painn1-cinn1","喻壞人。"
"福利","hok1-li2","幸福和利益。"
"福分","hok1-hun2","福氣。"
"福音","hok1-im1","福利的好消息。"
"福氣","hok1-ki3","享受幸福的運氣。"
"福地","hok1-de2","招來幸福的土地。"
"享福","(hiang1/hiong1)-hok2","生活安樂。"
"福祉","hok1-zi4","福利、幸福。"
"幸福","hing3-hok2","健康如意有好的生活。"
"造福","zor3-hok2","創造幸福。"
"買空賣空","mai1-kong1-mai3-kong1","指空頭生意。"
"買辦","mai1-ban2","替外國資本家在本國推行經濟侵略的代理人。"
"買賣","bhue1-(bhe2/bhue2)","用金錢的給付達到財產權的轉移行為。"
"買命","bhue1-mia2","致命、要命。"
"買主","bhue1-zu4","購買的人。"
"買收","bhue1-siu1","收買、用財物或其他好處拉攏使受利用。"
"染病","liam1-(benn2/binn2)","患病，又說“着病”（diorh3-benn2）。"
"染指","liam1-zi4","分取非分的利益。"
"傳染","tuan2-liam4","因為接觸而感染大都指疾病或惡習。"
"染料","ni1-liau2","供染色用的物質。"
"染布","ni1-bo3","用染料把布着色。"
"染色","ni1-sik2","用染料着色。"
"井鹽","zing1-iam5","地層中鹽質溶解在地下水裡，打井取這種水煮成的鹽。"
"井然","zing1-len5","有秩序。"
"井底之蛙","zing1-de4-zi2-ua1","喻見識狹小的人。"
"井井有條","zing1-zing4-iu1-diau5","喻條理分明。"
"井水","zinn1-zui4","打井汲取的水。"
"油井","iu2-zinn4","採取石油的井。"
"天井","ten2-zinn4","院落，又“深井”（cim2-(zenn4/zinn4)）中庭、裡院。"
"概要","gai4-iau3","大體的綱要。"
"概況","gai4-hong4","大概的情況。"
"概略","gai4-liok1","大略。"
"概觀","gai4-guan1","概要地觀察。"
"概念","gai4-liam2","綜合若干相同的特徵而成一個共同的觀念。"
"概論","gai4-lun2","概括扼要的論述。"
"概算","gai4-suan3","大概計算。"
"梗概","ging2-gai3","概要。"
"一概","it1-gai3","一律。"
"大概","dai3-gai3","概略、大約。"
"慢慢仔來","bhan3-bhan2-a1-lai5","不急不忙，又“勻仔是”（un2-a1-si2）。"
"慢行","bhan3-giann5","慢走。"
"慢性","bhan3-sing3","性情遲緩。"
"慢車","bhan3-cia1","速度比較慢或停站比較多的火車班車。"
"緊慢","gin1-bhan2","快和慢，早晚。又“早慢”（za1-bhan2）。"
"慢一下仔","bhan3-zit3-e2-a4","晚了一點。"
"慢且","bhan3-ciann4","慢點兒、等一下，又說“慢即”（bhan3-ziah2）、“慢者”（bhan3-zia4）。"
"早慢","za1-bhan2","早晚。"
"頇慢","han2-bhan2","低能，又作“含慢”、“緩慢”、“頇顢”（ham2-bhan2）。"
"腳手慢鈍","ka2-ciu4-bhan3-dun2","笨手笨腳。"
"慢皮","bhan2-(pue5/pe5)","反應遲鈍。"
"慢火","bhan2-(hue4/he4)","微弱的火。"
"藥食了真慢","iorh3-ziah3-liau4-zin2-bhan2","服藥的效力緩慢。"
"柴的火卡慢","ca5-e2-hue4-kah1-bhan2","木柴的火力較差。"
"怕事","pann4-su2","害怕出事。口語說“驚代誌”（giann2-dai3-zi3）。"
"害怕","hai3-pann3","不安、發慌“着驚”（diorh3-giann1），“膽膽”（dam1-dam4）。"
"恐怕","kiong1-pann3","口語“驚”，或“恐驚”（kiong1-giann1），“下暗恐驚會落雨”（e3-am3-kiong1-giann2-e3-lorh3-ho2）今晚恐怕會下雨。"
"懼怕","gu3-pann3","害怕，口語為“懼掣”（gu3-cuah2）。"
"磁力","zu2-lik1","磁所發生的吸引力量。"
"磁場","zu2-(diunn5/dionn5)","磁石周圍磁力所到的地方。"
"磁帶","zu2-dua3","磁性物質的塑料帶。"
"磁鐵","zu2-tih2","吸鐵石。"
"磁石","zu2-ziorh1","含有磁性的礦石。"
"倍數","bue3-so3","凡甲數可用乙數除盡的，甲就是乙的倍數。"
"加倍","ga2-bue2","照原數加同樣的全數叫一倍。"
"幾仔倍","gui4-a0-bue2","好幾倍。"
"重倍","ding2-bue2","加倍。"
"祖母","zo1-bhor4","父母的母親。"
"祖父","zo1-hu2","父母的父親。"
"祖墓","zo1-bhong2","祖先的墓墳。又“祖墳”（zo1-hun5）。"
"祖公祖媽","zo1-gong2-zo1-ma4","泛指歷代祖先。"
"祖產","zo1-san4","祖先的遺產。口語說“父公業”（be3-gong2-ghiap1）或“祖公業”（zo1-gong2-ghiap1）。"
"祖國","zo1-gok2","祖籍所在的國。"
"祖孫","zo1-sun1","祖父孫子。“媽孫”（ma1-sun1）祖母和孫子。"
"祖先","zo1-sen1","家族的上代。"
"祖師","zo1-su1","學派或宗派的開創者。手工業本行業的創始者。"
"祖述","zo1-sut2","尊崇和紹述先人的學說或行為。"
"祖傳","zo1-tuan5","歷代祖宗相傳下來的。"
"元祖","ghuan2-zo4","創始者。"
"祖宗","zo1-zong1","家族的上代。又說“祖公”（zo1-gong1）。"
"開祖","kai2-zo4","開山祖師、開創者。"
"鼻祖","bit3-zo4","創始人。"
"遠祖","uan1-zo4","許多代以前的祖先。"
"皇后","hong2-ho2","皇帝正妻。“皇帝娘”（hong2-de4-(niu5/nio5)）。"
"皇家","hong2-ga1","皇帝的家族。"
"皇宮","hong2-giong1","皇帝的住所。"
"皇室","hong2-sik2","皇帝的家族。"
"皇上","hong2-siong2","指在位的皇帝。"
"皇帝","hong2-de3","帝制的最高統治者。"
"有皇","u3-hong5","有威勢，“皇”為盛大、威勢之意。"
"促聲","ciok1-siann1","指入聲如“納”（lap1）、“殺”（sat2）、“毒”（dok1）、“鴨”（ah2），即韻尾為～p、～t、～k、～h者。"
"敦促","dun2-ciok2","懇切地催促。"
"促使","ciok1-su3","推而使實現。"
"促進","ciok1-zin3","促使進展。"
"急促","gip1-ciok2","快而短促。"
"催促","cui2-ciok2","使人快做某事。"
"促成","ciok1-sing5","促使成功。"
"促互短","cik1-ho3-de4","縮短，“索仔促卡短咧”（sorh1-a4-cik1-ho3-kah1-de4-le0）把繩子縮短一點。"
"促歲壽","cik1-hue4-siu2","縮短壽命。"
"-ciau-促","ciau2-cik2","調整也。"
"促死","zak2-si0","“死”字讀輕聲，意為悶（煩）得要死。"
"厝內人濟足促","cu4-lai2-lang5-ze2-ziok1-zak2","屋裡人多很悶。"
"互囝〔囡〕仔促","ho3-ghin1-a4-zak2","被小孩纏磨。"
"靜物","zing3-bhut1","靜止的物體。"
"靜養","zing3-iong4","安靜地休養。"
"靜脈","zing3-(mia1/meh1)","輸送血液回心臟的血管。"
"靜態","zing3-tai2","靜止狀態。"
"靜止","zing3-zi4","不動。"
"安靜","an2-zing2","平靜不吵雜。"
"平靜","bing2-zing2","安靜。"
"肅靜","siok1-zing2","嚴肅寂靜。"
"補藥","bo1-iorh1","滋補身體的藥物。"
"補養","bo1-iong4","補充滋養身體。"
"補貨","bo1-hue3","補辦貨品。"
"補假","bo1-ga4","對應休而沒休的假日，另行給以休假。"
"補票","bo1-pior3","補買車票等票。"
"補救","bo1-giu3","彌補救濟。"
"惡補","ok1-bo4","指惡性補習。"
"補給","bo1-gip2","補充供給彈藥糧食。"
"補考","bo1-kor4","補辦考試。"
"補課","bo1-kor3","補授所缺的課。"
"補習","bo1-sip1","業餘課外的學習。"
"補缺","bo1-kuat2","填補缺額。"
"補冬","bo1-dang1","立冬或冬天吃補品增進體力。"
"補充","bo1-ciong1","增補不足的部分。"
"補貼","bo1-tiap2","貼補費用。"
"食補","ziah3-bo4","吃滋補物品。"
"評議","ping2-ghi2","商討而評定。"
"評語","ping2-ghu4","評論的話語。"
"評分","ping2-hun1","評定分數。"
"評閱","ping2-et1","閱覽而加評語。"
"評介","ping2-gai3","評論介紹。"
"評價","ping2-ge3","評定價值。"
"評定","ping2-ding2","評論或審核作決定。"
"評論","ping2-lun2","批評而議論。"
"評判","ping2-puann3","判定優劣勝負。"
"評斷","ping2-duan3","評論判斷是非。"
"評傳","ping2-duan2","帶有評論的傳記。"
"好評","hor1-ping5","很好的評價。"
"品評","pin1-ping5","評論高下。"
"翻案","huan2-an3","推翻原來的判決。"
"翻滾","huan2-gun4","翻轉滾動。"
"翻覆","huan2-hok1","翻來覆去。"
"翻悔","huan2-hue4","對已允諾的事後悔不認。也說“反悔”。"
"推翻","tui2-huan1","推倒已成的局面。否定已有的說法、決定。"
"翻印","huan2-in3","影印、複印。"
"翻供","huan2-giong1","推翻供認的話。"
"翻身","huan2-sin1","轉動身體、喻掙脫出壓迫。"
"翻新","huan2-sin1","由舊而轉為新（指建築物）。"
"翻修","huan2-siu1","拆除舊的，在原址重建新的。"
"翻點","huan2-diam4","過了一點，“翻二點”（huan2-lng3-diam4）過了二點。"
"肉眼","riok3-ghan4","人體的眼睛。口語音（bhah1-ghan4）。"
"肉桂","riok3-gui3","可做香料的桂樹。"
"肉體","riok3-te4","人的身體，對精神或靈魂說的。口語音（bhah1-te4）。"
"靈肉","ling2-riok1","精神與肉體。"
"肉脯","bhah1-hu4","粉碎的乾肉（綿狀）肉鬆。"
"肉幼仔","bhah1-iu1-a4","碎肉、肉屑。"
"肉油","bhah1-iu5","炸油的白肉。"
"肉乾","bhah1-guann1","晒乾的肉。"
"肉包","bhah1-bau1","肉包子。"
"肉色","bhah1-sik2","淡黃色。"
"肉皮","bhah1-pue5","食用的豬皮。"
"肉酥","bhah1-so1","乾的粉碎肉。"
"肉粽","bhah1-zang3","包肉的粽子。"
"肉砧","bhah1-diam1","切肉的墊板。"
"肉肉肉","bhah1-bhah1-bhah2","形容全身是肉，肥胖也。"
"賤人","zen3-rin5","舊小說戲劇中罵婦女的代用詞、卑賤的人。"
"賤民","zen3-bhin5","地位低的人民。"
"下賤","ha3-zen2","低級沒地位。"
"貴賤","gui4-zen2","高貴和低賤。"
"卑賤","bi2-zen2","地位低下。"
"臭賤","cau4-zen2","粗鄙下賤。"
"尼姑","ni2-go1","出家修行的尼僧。"
"尼龍","ni2-liong5","“nylon”化學樹脂的纖維製品。"
"衣帽","i2-bhor2","衣服和帽子。"
"衣服","i2-hok1","身上穿的各種衣裳、服裝。"
"衣鉢","i2-buat2","佛僧的架裟和鉢盂（盛飯菜茶水的陶器），喻思想、學藝。"
"大衣","dua3-i1","大的外套。"
"衣料","i2-liau2","衣服用的布料"
"衣裳","i2-(siong5/ziunn5)","口語說“衫褲”（sann2-ko3）。"
"衣食住","i2-sit3-zu2","生活的基本事項。"
"外衣","ghua3-i1","穿在外面的外套。"
"寬容","kuan2-iong5","寬大有度量。"
"寬限","kuan2-han2","放寬期限。"
"寬宏大量","kuan2-hong5-dai3-liong2","度量大。"
"寬衣","kuan2-i1","請脫衣服的敬詞。"
"寬宥","kuan2-iu2","饒恕。"
"寬裕","kuan2-ru2","寬綽富裕。"
"寬闊","kuan2-kuah2","寬廣。"
